Brand,Name,Notes
White Farm,Flannel,"[Bergamot, Mahogany, Musk]"
White Farm,White Gardenia,"[White gardenia, Green notes, Apple, Tuberose]"
White Farm,A Day At The Cafe,"[Coffee, Milk, Caramel]"
White Farm,Cherry Almond Shortbread,"[Vanilla, Almond, Cherry]"
White Farm,Pink Lavender and Expresso,"[Pink lavender, Caramel, Coffee bean, Vanilla]"
White Farm,Cinnamon Spiced Vanilla,"[Cinnamon, Sugar, Tahitian vanilla]"
White Farm,Cranberry Woods,"[Cranberry, Cinnamon, Cedar, Amber]"
White Farm,Midnight Cocktails,"[Cedarwood, Clove, Tobacco]"
White Farm,Cranberry and Gala Apple,"[Gala apple, Cranberry, Cinnamon]"
White Farm,Salted Butterscotch,"[Brown sugar, Sweet notes, Cream, Sea Salt, Butter]"
White Farm,Strawberry Pound Cake,"[Strawberry, Cake, Cream]"
White Farm,Radiant Red Maple,"[Mcinntosh apple, Woods, Marshmallow]"
White Farm,Sundrenched Linen,"[Linen, Apple, Soft Musk]"
White Farm,Pumpkin Spice Latte,"[Pumpkin pie spice, Espresso, Cream, Cinnamon sugar]"
White Farm,Autumn Woods,"[Walnut, Lavender, White amber]"
White Farm,Caramel Pumpkin Swirl,"[Caramel, Cinnamon, Brown sugar, Vanilla]"
White Farm,Mixed Berry Crumble,"[Berries, Crumble, Cinnamon sugar]"
White Farm,Champagne Apple and Honey,"[Apple, Champagne, Jasmine, Honey]"
White Farm,Pumpkin Vanilla Creme,"[Pumpkin, Vanilla, Nutmeg, Graham cracker]"
White Farm,Backyard Honeysuckle,"[Sweetberry honeysuckle, Orange blossom, Neroli, Nectar]"
White Farm,Salted Amber and Vetiver,"[Amber, Orange blossom, Vetiver]"
White Farm,Raspberry Mimosa,"[Raspberry, Rose wine sorbet, Champagne]"
White Farm,Leather and Brandy,"[Leather, Amberwoods, Brandy]"
White Farm,Frozen Lake,"[Lavender, Eucalyptus, Junpier berry]"
White Farm,Freshly Brewed Coffee,"[Coffee, Milk]"
White Farm,Sugared Lemon and Spice,"[Lemon zest, Cardamom, Sugar, Ginger]"
White Farm,Gingham,"[Blue freesia, White peach, Clementine]"
White Farm,Fiji White Sands,"[Sugar cane, White nectarine, Sandalwood]"
White Farm,Jasmine and Currant,"[Blue jasmine, Currant, Nectar, Peony]"
White Farm,Bergamot Waters,"[Bergamot, Marine notes, Sugar, Cirtus, Sandalwood]"
White Farm,Basil Leaf and Apple,"[Apple, Basil, Dew drop]"
White Farm,Gingham Glow,"[Nectar, Marigold leaf, Sandalwood]"
White Farm,Iced Dragon Fruit Tea,"[Dragon fruit, Green tea, Lemonade, Coconut milk]"
White Farm,Coastal Cottage,"[Sage, Oakmoss, Marine notes]"
White Farm,Cafe Latte,"[Espresso, Vanilla creme, Caramel]"
White Farm,Black Cherry Merlot,"[Black cherry, Red wine, Raspberry, Plum]"
White Farm,Mahogany Teakwood,"[Mahogany, Black teakwood, Oak, Lavender]"
White Farm,Rose Water and Ivy,"[Rose, Ivy, Lemon blossom, Soft musk]"
White Farm,Lakeside Morning,"[Air accord, White driftwood, Green apple]"
White Farm,Turquoise Waters,"[Marine notes, Bergamot, Musk]"
White Farm,Sea Salt and Sails,"[Sea mist, Aloe vera, Nectar, Driftwood]"
White Farm,Starfruit Sangria,"[Starfruit, Kiwi, Nectar, Sangria]"
White Farm,Bronzed Sunset,"[Coconut, Sea mist, Soft musk]"
White Farm,First Sight,"[Italian bergamot, Woods, Sugar, Musk]"
White Farm,Ocean,"[Blue cypress, Vetiver, Air accord]"
White Farm,Japanese Cherry Blossom,"[Japanese cherry blossom, Pear, Sandalwood]"
White Farm,A Thousand Wishes,"[Pink prosecco, Peony, Almond cream]"
White Farm,Eucalyptus Spearmint,"[Spearmint, Clary sage, Eucalyptus]"
White Farm,Vanilla Bean,"[Madagascar vanilla orchid, Marshmallow, Cinnamon, Nutmeg]"
White Farm,Cactus Blossom,"[Cactus blossom, Citrus, Vanilla, Coconut]"
White Farm,Sugared Lemon Zest,"[Lemon, Lemon zest, Sugar cane]"
White Farm,Midnight Blue Citrus,"[Citrus, Fresh spring water, Mango]"
White Farm,Eucalyptus Mint,"[Eucalyptus, Spearmint, Lemon zest, Clary sage]"
White Farm,Peach Bellini,"[White peach, Prosecco, Orange]"
White Farm,Wicked Vanilla Woods,"[Vanilla, Amberwood, Pink pepper]"
White Farm,Candy Apple Cauldron,"[Green apple, Sugar, Bergamot]"
White Farm,Oceanside Lavender,"[Lavender, Sandalwood, Sea mist]"
Yankee Candle,Autumn Leaves,"[Pomegranate, Orange blossom, Whitebark pine, Blackberry, Juniper berry, Rosemary, Birch leaf, Red maple, Persimmon]"
Yankee Candle,Witches' Brew,"[Woody notes, Sweet notes, Clove, Cinnamon, Jasmine, Patchouli, Vanilla]"
Yankee Candle,Spice Pumpkin,"[Cirtus, Orange, Pumpkin, Cinnamon, Clove, Vanilla, Baked notes]"
Yankee Candle,Pumpkin Cinnamon Swirl,"[Cinnamon, Caramel, Clove, Nutmeg, Pumpkin, Roasted pecan, Vanilla, Brown sugar, Musk]"
Yankee Candle,Balsam and Cedar,"[Citrus, Herbs, Red berries, Pine balsam, Cedar, Sandalwood, Vanilla, Amber, Musk]"
Yankee Candle,Harvest,"[Cinnamon, Cinnamon leaf, Vanilla, Musk]"
Yankee Candle,Autumn Wreath,"[Leaf green, Apple, Cinnamon, Clove, Nutmeg, Woody notes, Vanilla]"
Yankee Candle,Macintosh,"[Apple skin, Green notes, Grapefruit, Mcintosh Apple, Clove, Musk]"
Yankee Candle,Apple Pumpkin,"[Apple, Yellow fruits, Orange, Green notes, Butter, Pumpkin, Baked notes, Red fruits, Cinnamon, Clove, Nutmeg, Ginger, Vanilla, Maple sugar, Pie crust, Cream, Musk]"
Yankee Candle,Pumpkin Maple Creme Caramel,"[Cinnamon sugar, Butter, Pumpkin, Maple, Sugar icing, Croissant, Vanilla, Maple]"
Yankee Candle,Home Sweet Home,"[Apple, Cinnamon, Nutmeg, Cherry, Juniper berry, Coumarin, Musk]"
Yankee Candle,Enchantress Spell,"[Blackberry, Raspberry, Black rose, Black amber, Oud, Cedar, Velvet, Patchouli, Silk]"
Yankee Candle,Banana Nut Bread,"[Banana, Walnut, Dried fruits, Cinnamon, Clove, Nutmeg, Vanilla, Sugar]"
Yankee Candle,Sugar Cinnamon Apple,"[Apple, Cinnamon cider, Sugar, Vanilla, Nutmeg, Clove]"
Yankee Candle,Log Cabin Flannel,"[Black pepper, Lemon, Orange, Cypress, Coriander, Jasmine, Cinnamon, Eucalyptus, Cotton fabric, Musk, Patchouli, Vetiver, Sandalwood]"
Yankee Candle,Vineyard,"[Grape, Red fruits, Mossy notes]"
Yankee Candle,Sage and Citrus,"[Herbaceous notes, Lavender, Citrus, Geranium, Lavender, Patchouli, Powdery notes, Musk, Woody notes]"
Yankee Candle,Autumn Lodge,"[Herbs, Fruity notes, Sage, Raspberry, Nutmeg, Clove, Sandalwood, Patchouli, Vetiver, Cedar]"
Yankee Candle,MidSummer's Night,"[Citrus, Herbaceous notes, Woody notes, Bergamot, Lime, Lavender, Pine, Sage, Cedarwood, Vetiver, Junpier berry, Clary sage, Moss]"
Yankee Candle,Campfire Cocktail,"[Bitter orange, Thyme, Mirabelle plum, Golden Delicious apple, Nashi pear, Cinnamon, Rum, Bourbon whiskey barrel, Cinnamon wood, Musk]"
